playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
carutbo01,1889,WS,BR3,AA,0,2,4,2,2,0,1,72,28,10,3,6,6,,3.75,,,,,,2,19,,,
foutzda01,1889,WS,BR3,AA,0,0,1,0,0,0,0,15,5,4,0,2,2,,7.2,,,,,,1,4,,,
hughemi01,1889,WS,BR3,AA,1,0,1,1,0,0,0,21,14,6,1,3,3,,7.71,,,,,,0,7,,,
lovetto01,1889,WS,BR3,AA,0,1,1,1,0,0,0,9,8,8,2,2,1,,24,,,,,,0,9,,,
terryad01,1889,WS,BR3,AA,2,3,5,5,4,0,0,111,47,25,2,18,14,,6.08,,,,,,0,34,,,
craneed01,1889,WS,NY1,NL,4,1,5,5,4,0,0,114,29,16,3,32,19,,3.79,,,,,,0,26,,,
keefeti01,1889,WS,NY1,NL,0,1,2,1,1,0,1,33,17,10,1,2,4,,8.18,,,,,,1,15,,,
odayha01,1889,WS,NY1,NL,2,0,3,2,2,0,0,69,10,3,0,14,12,,1.17,,,,,,1,3,,,
welchmi01,1889,WS,NY1,NL,0,1,1,1,0,0,0,15,11,5,1,3,1,,9,,,,,,0,8,,,
dailyed01,1890,WS,LS2,AA,0,2,2,2,2,0,0,51,12,5,1,8,5,,2.65,,,,,,0,12,,,
ehretre01,1890,WS,LS2,AA,2,0,3,2,2,0,1,60,12,3,0,6,13,,1.35,,,,,,0,9,,,
meakige01,1890,WS,LS2,AA,0,0,1,0,0,0,0,12,6,0,0,1,1,,0,,,,,,1,6,,,
stratsc01,1890,WS,LS2,AA,1,1,3,3,1,0,0,57,26,5,0,4,8,,2.37,,,,,,1,15,,,
lovetto01,1890,WS,BRO,NL,2,2,4,4,4,0,0,105,29,11,0,6,14,,2.83,,,,,,0,16,,,
terryad01,1890,WS,BRO,NL,1,1,3,3,3,1,0,75,25,10,0,10,8,,3.6,,,,,,0,16,,,
nichoki01,1892,CS,BSN,NL,2,0,2,2,2,1,0,54,17,2,0,4,13,,1,,,,,,0,3,,,
staleha01,1892,CS,BSN,NL,1,0,1,1,1,0,0,27,10,3,0,1,0,,3,,,,,,0,3,,,
stiveja01,1892,CS,BSN,NL,2,0,3,3,3,1,0,87,21,3,1,7,17,,0.93,,,,,,0,9,,,
clarkjo01,1892,CS,CL4,NL,0,2,2,2,2,0,0,51,24,10,1,5,9,,5.29,,,,,,0,16,,,
cuppyni01,1892,CS,CL4,NL,0,1,1,1,1,0,0,24,6,1,1,4,1,,1.13,,,,,,0,4,,,
youngcy01,1892,CS,CL4,NL,0,2,3,3,3,1,0,81,26,9,1,3,9,,3,,,,,,0,11,,,
dinnebi01,1903,WS,BOS,AL,3,1,4,4,4,2,0,105,29,8,0,8,28,0.23,2.06,0,0,0,0,134,0,8,0,0,0
hugheto01,1903,WS,BOS,AL,0,1,1,1,0,0,0,6,4,2,0,2,0,0.4,9,0,0,0,0,12,0,3,0,0,0
youngcy01,1903,WS,BOS,AL,2,1,4,3,3,0,0,102,31,7,1,4,17,0.23,1.85,0,0,1,0,142,1,13,3,0,1
kennebr01,1903,WS,PIT,NL,0,1,1,1,0,0,0,21,10,4,0,3,3,0.29,5.14,0,0,0,0,38,0,10,1,0,0
leevesa01,1903,WS,PIT,NL,0,2,2,2,1,0,0,30,13,6,1,3,2,0.3,5.4,0,0,1,0,48,0,8,0,1,1
phillde01,1903,WS,PIT,NL,3,2,5,5,5,0,0,132,38,15,0,3,22,0.22,3.07,0,1,1,0,178,0,19,3,4,1
thompgu01,1903,WS,PIT,NL,0,0,1,0,0,0,0,6,3,1,0,0,1,0.33,4.5,0,0,0,0,9,1,1,0,0,0
veilbu01,1903,WS,PIT,NL,0,0,1,0,0,0,0,21,5,1,1,5,1,0.21,1.29,0,0,1,0,31,1,1,2,0,2
bendech01,1905,WS,PHA,AL,1,1,2,2,2,1,0,51,9,2,0,6,13,0.16,1.06,0,0,0,0,64,0,2,2,1,0
coaklan01,1905,WS,PHA,AL,0,1,1,1,1,0,0,27,9,3,0,5,2,0.26,3,1,0,1,0,40,0,9,0,0,1
planked01,1905,WS,PHA,AL,0,2,2,2,2,0,0,51,15,3,0,4,11,0.23,1.59,1,1,1,0,71,0,4,3,0,0
amesre01,1905,WS,NY1,NL,0,0,1,0,0,0,0,3,1,0,0,1,1,0.25,0,0,0,0,0,5,1,0,0,0,0
mathech01,1905,WS,NY1,NL,3,0,3,3,3,3,0,81,13,0,0,1,18,0.14,0,0,1,1,0,94,0,0,0,0,2
mcginjo01,1905,WS,NY1,NL,1,1,2,2,1,1,0,51,10,0,0,3,6,0.16,0,0,0,0,0,65,0,3,3,0,0
altroni01,1906,WS,CHA,AL,1,1,2,2,2,0,0,54,11,2,0,2,5,0.19,1,0,1,0,0,65,0,2,7,0,0
owenfr01,1906,WS,CHA,AL,0,0,1,0,0,0,0,18,6,2,0,3,2,0.28,3,0,1,0,0,26,1,3,2,0,0
walshed01,1906,WS,CHA,AL,2,0,2,2,1,1,0,45,7,1,0,6,17,0.13,0.6,0,2,1,0,62,0,6,2,0,0
whitedo01,1906,WS,CHA,AL,1,1,3,2,1,0,1,45,12,3,0,7,4,0.22,1.8,1,0,1,0,64,1,7,2,0,1
brownmo01,1906,WS,CHN,NL,1,2,3,3,2,1,0,59,14,8,0,4,12,0.2,3.66,0,1,0,0,76,0,9,2,0,0
overaor01,1906,WS,CHN,NL,0,0,2,0,0,0,0,36,10,2,0,3,8,0.22,1.5,0,1,0,0,48,2,2,1,0,0
pfiesja01,1906,WS,CHN,NL,0,2,2,1,1,0,0,31,7,7,0,3,11,0.19,6.1,0,0,2,0,43,0,7,2,0,0
reulbed01,1906,WS,CHN,NL,1,0,2,2,1,0,0,33,6,3,0,8,4,0.16,2.45,0,1,1,0,47,0,4,1,0,1
donovbi01,1907,WS,DET,AL,0,1,2,2,2,0,0,63,17,4,0,5,16,0.23,1.71,0,0,3,0,86,0,9,6,0,0
killied01,1907,WS,DET,AL,0,0,1,0,0,0,0,12,3,1,0,1,1,0.2,2.25,0,0,0,0,16,1,1,0,0,0
mullige01,1907,WS,DET,AL,0,2,2,2,2,0,0,51,15,4,0,7,8,0.24,2.12,0,0,1,0,71,0,5,2,0,0
sieveed01,1907,WS,DET,AL,0,1,1,1,0,0,0,12,7,2,0,0,1,0.38,4.5,0,0,0,0,19,0,4,1,0,0
brownmo01,1907,WS,CHN,NL,1,0,1,1,1,1,0,27,7,0,0,1,4,0.21,0,0,0,0,0,34,0,0,0,0,0
overaor01,1907,WS,CHN,NL,1,0,2,2,1,0,0,54,14,2,0,4,11,0.21,1,0,0,0,0,72,0,4,3,1,0
pfiesja01,1907,WS,CHN,NL,1,0,1,1,1,0,0,27,10,1,0,1,3,0.31,1,0,0,1,0,34,0,1,0,0,1
reulbed01,1907,WS,CHN,NL,1,0,2,1,1,0,0,36,6,1,0,3,4,0.14,0.75,0,0,0,0,45,1,1,0,0,1
donovbi01,1908,WS,DET,AL,0,2,2,2,2,0,0,51,17,8,1,4,10,0.28,4.24,0,1,0,0,67,0,8,3,0,1
killied01,1908,WS,DET,AL,0,0,1,1,0,0,0,7,5,3,0,3,1,0.41,11.57,0,0,0,0,15,0,4,0,0,0
mullige01,1908,WS,DET,AL,1,0,1,1,1,0,0,27,7,0,0,1,8,0.21,0,0,0,0,0,33,0,3,0,0,2
summeed01,1908,WS,DET,AL,0,2,2,1,0,0,0,44,18,7,0,4,7,0.32,4.3,0,0,0,0,66,1,8,5,1,0
wintege01,1908,WS,DET,AL,0,0,1,0,0,0,0,3,1,0,0,1,0,0.25,0,0,0,0,0,5,1,1,0,0,0
brownmo01,1908,WS,CHN,NL,2,0,2,1,1,1,0,33,6,0,0,1,5,0.16,0,0,0,1,0,40,1,1,2,0,1
overaor01,1908,WS,CHN,NL,2,0,3,2,2,1,0,55,7,2,0,7,15,0.11,0.98,0,1,1,0,69,0,2,1,0,1
pfiesja01,1908,WS,CHN,NL,0,1,1,1,0,0,0,24,11,7,0,3,1,0.34,7.88,0,0,0,0,37,0,8,1,1,0
reulbed01,1908,WS,CHN,NL,0,0,2,1,0,0,0,23,9,4,0,1,5,0.3,4.7,0,0,0,0,31,1,4,0,0,0
donovbi01,1909,WS,DET,AL,1,1,2,2,1,0,0,36,7,4,0,8,7,0.18,3,0,0,1,0,51,0,4,3,1,0
mullige01,1909,WS,DET,AL,2,1,4,3,3,1,0,96,23,8,1,8,20,0.19,2.25,0,0,2,0,132,1,14,4,1,0
summeed01,1909,WS,DET,AL,0,2,2,2,0,0,0,22,13,7,1,4,4,0.38,8.59,0,2,1,0,41,0,13,2,0,0
willeed01,1909,WS,DET,AL,0,0,2,0,0,0,0,23,3,0,0,0,1,0.12,0,0,0,2,0,27,1,1,0,0,0
worksra01,1909,WS,DET,AL,0,0,1,0,0,0,0,6,4,2,0,0,2,0.44,9,0,0,0,0,10,1,2,0,1,0
adamsba01,1909,WS,PIT,NL,3,0,3,3,3,1,0,81,18,4,2,6,11,0.18,1.33,0,0,1,0,106,0,5,2,0,0
camniho01,1909,WS,PIT,NL,0,1,2,1,0,0,0,10,8,5,0,2,2,0.47,13.5,0,0,0,0,20,0,6,1,0,0
leifile01,1909,WS,PIT,NL,0,1,1,1,0,0,0,12,7,5,0,1,0,0.36,11.25,0,0,2,0,22,0,5,0,0,1
maddoni01,1909,WS,PIT,NL,1,0,1,1,1,0,0,27,11,1,0,2,4,0.28,1,0,0,0,0,41,0,6,0,0,0
phillde01,1909,WS,PIT,NL,0,0,2,0,0,0,0,18,2,0,0,1,2,0.1,0,0,0,0,0,23,2,0,2,0,0
willivi01,1909,WS,PIT,NL,0,1,2,1,0,0,0,35,10,6,0,8,3,0.25,4.63,0,0,1,0,49,1,6,0,0,0
bendech01,1910,WS,PHA,AL,1,1,2,2,2,0,0,56,13,4,0,4,14,0.21,1.93,0,0,0,0,67,0,5,1,0,1
coombja01,1910,WS,PHA,AL,3,0,3,3,3,0,0,81,24,10,0,14,17,0.25,3.33,0,1,0,0,116,0,10,4,2,1
brownmo01,1910,WS,CHN,NL,1,2,3,2,1,0,0,54,23,11,0,7,14,0.29,5.5,0,1,0,0,86,1,16,2,0,1
coleki01,1910,WS,CHN,NL,0,0,1,1,0,0,0,24,10,3,0,3,5,0.34,3.38,0,0,1,0,35,0,3,2,0,1
mcintha01,1910,WS,CHN,NL,0,1,2,0,0,0,0,16,4,4,1,3,3,0.21,6.75,0,0,1,0,23,1,5,0,0,0
overaor01,1910,WS,CHN,NL,0,1,1,1,0,0,0,9,6,3,0,1,1,0.54,9,0,0,0,0,14,0,3,2,0,0
pfiesja01,1910,WS,CHN,NL,0,0,1,0,0,0,0,20,10,0,0,1,1,0.33,0,0,0,0,0,31,1,5,0,0,1
reulbed01,1910,WS,CHN,NL,0,0,1,1,0,0,0,6,3,3,0,2,0,0.42,13.5,0,0,0,0,10,0,3,1,0,0
richile01,1910,WS,CHN,NL,0,0,1,0,0,0,0,3,1,0,0,0,0,0.25,0,0,0,0,0,4,1,0,0,0,0
bendech01,1911,WS,PHA,AL,2,1,3,3,3,0,0,78,16,3,0,8,20,0.17,1.04,0,1,1,0,104,0,6,1,1,0
coombja01,1911,WS,PHA,AL,1,0,2,2,1,0,0,60,11,3,0,6,16,0.17,1.35,0,0,1,0,73,0,5,2,1,0
planked01,1911,WS,PHA,AL,1,1,2,1,1,0,0,29,6,2,0,0,8,0.18,1.86,0,0,1,0,35,1,2,0,1,0
amesre01,1911,WS,NY1,NL,0,1,2,1,0,0,0,24,6,2,0,1,6,0.19,2.25,0,0,0,0,33,0,5,1,0,0
cranddo01,1911,WS,NY1,NL,1,0,2,0,0,0,0,12,2,0,0,0,2,0.14,0,0,1,0,0,14,2,0,0,0,0
marquru01,1911,WS,NY1,NL,0,1,3,2,0,0,0,35,9,2,2,1,8,0.2,1.54,0,2,0,0,45,1,6,1,0,0
mathech01,1911,WS,NY1,NL,1,2,3,3,2,0,0,81,25,6,1,2,13,0.25,2,1,0,0,0,107,0,8,4,1,0
wiltsho01,1911,WS,NY1,NL,0,0,2,0,0,0,0,10,8,7,0,0,2,0.47,18.9,0,0,0,0,19,1,8,1,1,0
bediehu01,1912,WS,BOS,AL,1,0,4,2,1,0,0,54,10,1,0,7,7,0.16,0.5,0,0,2,0,69,2,2,1,0,1
collira01,1912,WS,BOS,AL,0,0,2,1,0,0,0,43,14,3,0,0,6,0.26,1.88,0,0,0,0,53,1,5,0,1,0
hallch02,1912,WS,BOS,AL,0,0,2,0,0,0,0,32,11,4,1,9,1,0.26,3.38,2,0,0,0,51,1,6,0,1,0
obriebu01,1912,WS,BOS,AL,0,2,2,2,0,0,0,27,12,5,0,3,4,0.35,5,0,0,0,1,40,0,7,2,1,0
woodjo02,1912,WS,BOS,AL,3,1,4,3,2,0,0,66,27,11,0,3,21,0.3,4.5,0,0,1,0,93,1,11,1,0,0
amesre01,1912,WS,NY1,NL,0,0,1,0,0,0,0,6,3,1,0,1,0,0.37,4.5,0,0,0,0,10,1,1,1,0,0
cranddo01,1912,WS,NY1,NL,0,0,1,0,0,0,0,6,1,0,0,0,2,0.16,0,0,0,0,0,7,1,0,1,0,0
marquru01,1912,WS,NY1,NL,2,0,2,2,2,0,0,54,14,1,0,2,9,0.21,0.5,0,0,0,0,69,0,3,1,0,1
mathech01,1912,WS,NY1,NL,0,2,3,3,3,0,0,86,23,3,0,5,10,0.21,0.94,1,0,0,0,115,0,11,1,1,0
tesreje01,1912,WS,NY1,NL,1,2,3,3,1,0,0,69,19,8,1,11,15,0.22,3.13,0,3,1,0,100,0,10,2,1,1
bendech01,1913,WS,PHA,AL,2,0,2,2,2,0,0,54,19,8,1,1,9,0.27,4,0,0,1,0,73,0,9,1,0,1
bushjo01,1913,WS,PHA,AL,1,0,1,1,1,0,0,27,5,1,0,4,3,0.17,1,0,0,1,0,34,0,2,0,0,1
planked01,1913,WS,PHA,AL,1,1,2,2,2,0,0,57,9,2,0,3,7,0.13,0.95,0,0,1,0,70,0,4,1,0,2
cranddo01,1913,WS,NY1,NL,0,0,2,0,0,0,0,14,4,2,1,0,2,0.23,3.86,0,0,0,0,17,1,2,0,0,0
demaral01,1913,WS,NY1,NL,0,1,1,1,0,0,0,12,7,2,0,1,0,0.36,4.5,0,0,0,0,21,0,4,1,0,0
marquru01,1913,WS,NY1,NL,0,1,2,1,0,0,0,27,10,7,1,3,3,0.28,7,0,0,0,0,39,1,7,1,0,0
mathech01,1913,WS,NY1,NL,1,1,2,2,2,1,0,57,14,2,0,2,7,0.2,0.95,1,0,0,0,75,0,3,3,2,0
tesreje01,1913,WS,NY1,NL,0,1,2,1,0,0,0,25,11,5,0,1,4,0.31,5.4,0,0,0,0,36,1,7,0,0,0
bendech01,1914,WS,PHA,AL,0,1,1,1,0,0,0,16,8,6,0,2,3,0.38,10.13,0,0,0,0,23,0,6,0,0,2
bushjo01,1914,WS,PHA,AL,0,1,1,1,1,0,0,33,9,4,1,4,4,0.22,3.27,1,0,0,0,46,0,5,1,1,0
pennohe01,1914,WS,PHA,AL,0,0,1,0,0,0,0,9,2,0,0,2,3,0.2,0,0,0,0,0,12,1,0,0,0,0
planked01,1914,WS,PHA,AL,0,1,1,1,1,0,0,27,7,1,0,4,6,0.21,1,0,0,1,0,39,0,1,1,0,0
shawkbo01,1914,WS,PHA,AL,0,1,1,1,0,0,0,15,4,2,0,2,0,0.22,3.6,0,0,0,0,20,0,3,0,0,0
wyckowe01,1914,WS,PHA,AL,0,0,1,0,0,0,0,11,3,1,0,1,2,0.23,2.45,0,0,0,0,14,1,1,0,0,1
jamesbi02,1914,WS,BSN,NL,2,0,2,1,1,1,0,33,2,0,0,6,9,0.06,0,1,0,0,0,37,1,0,0,0,1
rudoldi01,1914,WS,BSN,NL,2,0,2,2,2,0,0,54,12,1,0,4,15,0.19,0.5,0,1,0,0,66,0,2,1,0,0
tylerle01,1914,WS,BSN,NL,0,0,1,1,0,0,0,30,8,4,0,3,4,0.22,3.6,1,0,0,0,41,0,4,1,1,1
fosteru01,1915,WS,BOS,AL,2,0,2,2,2,0,0,54,12,4,1,2,13,0.19,2,0,0,2,0,66,0,5,0,0,1
leonadu01,1915,WS,BOS,AL,1,0,1,1,1,0,0,27,3,1,0,0,6,0.1,1,0,0,0,0,31,0,1,3,0,0
shoreer01,1915,WS,BOS,AL,1,1,2,2,2,0,0,51,12,4,0,8,6,0.2,2.12,0,0,0,0,68,0,4,2,0,0
alexape01,1915,WS,PHI,NL,1,1,2,2,2,0,0,53,14,3,0,4,10,0.23,1.53,1,0,0,0,69,0,3,4,1,1
chalmge01,1915,WS,PHI,NL,0,1,1,1,1,0,0,24,8,2,0,3,6,0.28,2.25,0,0,0,0,33,0,2,2,0,1
mayerer01,1915,WS,PHI,NL,0,1,2,2,1,0,0,34,16,3,1,2,7,0.34,2.38,0,0,0,0,49,0,4,0,0,0
rixeyep01,1915,WS,PHI,NL,0,1,1,0,0,0,0,20,4,3,2,2,2,0.16,4.05,0,0,1,0,27,1,3,0,0,1
fosteru01,1916,WS,BOS,AL,0,0,1,0,0,0,0,9,3,0,0,0,1,0.27,0,0,0,0,0,11,1,0,0,0,0
leonadu01,1916,WS,BOS,AL,1,0,1,1,1,0,0,27,5,1,0,4,3,0.15,1,0,1,0,0,36,0,2,0,0,0
maysca01,1916,WS,BOS,AL,0,1,2,1,0,0,1,16,8,4,0,3,2,0.38,6.75,1,0,1,0,28,1,4,3,0,0
ruthba01,1916,WS,BOS,AL,1,0,1,1,1,0,0,42,6,1,1,3,4,0.14,0.64,0,0,0,0,48,0,1,2,0,1
shoreer01,1916,WS,BOS,AL,2,0,2,2,1,0,0,53,12,3,0,4,9,0.19,1.53,0,0,1,0,69,0,6,1,0,3
chenela01,1916,WS,BRO,NL,0,0,1,0,0,0,0,9,4,1,0,1,5,0.3,3,0,0,0,0,14,0,2,0,0,0
coombja01,1916,WS,BRO,NL,1,0,1,1,0,0,0,19,7,3,1,1,1,0.3,4.26,0,0,0,0,24,0,3,0,0,0
dellwh01,1916,WS,BRO,NL,0,0,1,0,0,0,0,3,1,0,0,0,0,0.33,0,0,0,0,0,4,1,0,1,0,0
marquru01,1916,WS,BRO,NL,0,2,2,2,0,0,0,33,12,7,1,6,9,0.29,5.73,0,0,0,0,53,0,9,5,1,0
pfeffje01,1916,WS,BRO,NL,0,1,3,1,0,0,1,32,7,2,0,4,5,0.19,1.69,0,2,0,0,42,2,5,1,1,0
ruckena01,1916,WS,BRO,NL,0,0,1,0,0,0,0,6,1,0,0,0,3,0.16,0,0,0,0,0,6,1,0,0,0,0
smithsh01,1916,WS,BRO,NL,0,1,1,1,1,0,0,40,7,2,0,6,2,0.16,1.35,1,0,0,0,51,0,2,3,0,1
cicoted01,1917,WS,CHA,AL,1,1,3,2,2,0,0,69,23,4,0,2,13,0.25,1.57,1,0,0,0,95,0,5,2,0,2
danfoda01,1917,WS,CHA,AL,0,0,1,0,0,0,0,3,3,2,1,0,2,0.6,18,0,0,0,0,5,1,2,0,0,0
faberre01,1917,WS,CHA,AL,3,1,4,3,2,0,0,81,21,7,1,3,9,0.22,2.33,0,1,2,0,101,1,7,1,0,2
russere01,1917,WS,CHA,AL,0,0,1,1,0,0,0,0,2,2,0,1,0,1,,0,0,0,0,3,0,2,0,0,0
willile01,1917,WS,CHA,AL,0,0,1,0,0,0,0,3,2,1,0,0,3,0.33,9,0,0,0,0,6,0,1,0,0,0
anderfr01,1917,WS,NY1,NL,0,1,1,0,0,0,0,6,5,4,0,0,3,0.45,18,0,0,0,0,11,0,4,0,0,0
bentoru01,1917,WS,NY1,NL,1,1,2,2,1,1,0,42,9,0,0,1,8,0.17,0,0,0,0,0,53,0,3,0,0,0
perripo01,1917,WS,NY1,NL,0,0,3,0,0,0,0,25,9,2,0,3,3,0.31,2.16,0,0,0,0,33,2,2,1,0,0
sallesl01,1917,WS,NY1,NL,0,2,2,2,1,0,0,46,20,9,1,4,4,0.31,5.28,0,0,0,0,69,0,10,2,0,0
schupfe01,1917,WS,NY1,NL,1,0,2,2,1,1,0,31,11,2,0,2,9,0.27,1.74,0,0,0,0,42,0,2,0,0,1
tesreje01,1917,WS,NY1,NL,0,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0
bushjo01,1918,WS,BOS,AL,0,1,2,1,1,0,1,27,7,3,0,3,0,0.24,3,0,0,0,0,33,1,3,1,0,1
jonessa01,1918,WS,BOS,AL,0,1,1,1,1,0,0,27,7,3,0,5,5,0.23,3,0,0,0,0,36,0,3,1,0,0
maysca01,1918,WS,BOS,AL,2,0,2,2,2,0,0,54,10,2,0,3,5,0.17,1,0,0,1,0,63,0,2,1,0,0
ruthba01,1918,WS,BOS,AL,2,0,2,2,1,1,0,51,13,2,0,7,4,0.22,1.06,0,1,1,0,68,0,2,1,0,2
douglph01,1918,WS,CHN,NL,0,1,1,0,0,0,0,3,1,0,0,0,0,0.25,0,0,0,0,0,5,1,1,1,0,0
hendrcl01,1918,WS,CHN,NL,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
tylerle01,1918,WS,CHN,NL,1,1,3,3,1,0,0,69,14,3,0,11,4,0.18,1.17,0,0,0,0,92,0,5,4,0,1
vaughhi01,1918,WS,CHN,NL,1,2,3,3,3,1,0,81,17,3,0,5,17,0.19,1,1,0,1,0,97,0,3,3,0,2
cicoted01,1919,WS,CHA,AL,1,2,3,3,2,0,0,65,19,7,0,5,7,0.24,2.91,0,0,1,0,87,0,9,1,1,2
jamesbi01,1919,WS,CHA,AL,0,0,1,0,0,0,0,14,8,3,0,3,2,0.42,5.79,0,0,1,0,23,0,4,0,0,0
kerrdi01,1919,WS,CHA,AL,2,0,2,2,2,1,0,57,14,3,0,3,6,0.2,1.42,0,0,1,0,72,0,4,1,0,1
lowdegr01,1919,WS,CHA,AL,0,0,1,0,0,0,0,3,2,1,0,1,0,0.5,9,0,0,1,0,7,1,1,1,0,0
mayerer01,1919,WS,CHA,AL,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,5,1,1,1,0,0
wilkiro01,1919,WS,CHA,AL,0,0,2,0,0,0,0,22,9,3,0,4,3,0.34,3.68,0,0,1,0,34,1,4,3,0,1
willile01,1919,WS,CHA,AL,0,3,3,3,1,0,0,49,12,12,0,8,4,0.22,6.61,0,0,0,0,66,0,12,4,1,0
ellerho01,1919,WS,CIN,NL,2,0,2,2,2,1,0,54,13,4,1,2,15,0.19,2,0,0,1,0,71,0,5,0,0,0
fishera01,1919,WS,CIN,NL,0,1,2,1,0,0,0,23,7,2,0,2,2,0.25,2.35,0,0,0,0,29,0,3,0,0,1
luquedo01,1919,WS,CIN,NL,0,0,2,0,0,0,0,15,1,0,0,0,6,0.06,0,0,0,0,0,16,2,0,0,0,0
ringji01,1919,WS,CIN,NL,1,1,2,1,1,1,0,42,7,1,0,6,4,0.14,0.64,0,0,2,0,57,1,1,1,0,0
ruethdu01,1919,WS,CIN,NL,1,0,2,2,1,0,0,42,12,4,0,4,1,0.24,2.57,0,0,0,0,56,0,5,2,1,0
sallesl01,1919,WS,CIN,NL,1,1,2,2,1,0,0,40,19,2,0,1,2,0.34,1.35,0,0,0,1,59,0,6,3,0,1
bagbyji01,1920,WS,CLE,AL,1,1,2,2,1,0,0,45,20,3,0,1,3,0.34,1.8,1,1,0,0,60,0,4,1,0,2
caldwra02,1920,WS,CLE,AL,0,1,1,1,0,0,0,1,2,1,0,1,0,0.66,27,0,0,0,0,5,0,2,1,0,0
covelst01,1920,WS,CLE,AL,3,0,3,3,3,1,0,81,15,2,0,2,8,0.16,0.67,0,0,0,0,97,0,2,1,0,2
mailsdu01,1920,WS,CLE,AL,1,0,2,1,1,1,0,47,6,0,0,6,6,0.12,0,0,0,0,0,58,0,0,2,0,1
